p,o
http://www.w3.org/2000/01/rdf-schema#domain,http://www.w3.org/1999/02/22-rdf-syntax-ns#Statement
http://www.w3.org/2000/01/rdf-schema#domain,http://www.w3.org/1999/02/22-rdf-syntax-ns#Statement
http://www.w3.org/2000/01/rdf-schema#domain,http://www.w3.org/1999/02/22-rdf-syntax-ns#List
http://www.w3.org/2000/01/rdf-schema#domain,http://www.w3.org/1999/02/22-rdf-syntax-ns#List
http://www.w3.org/2000/01/rdf-schema#range,http://www.w3.org/2000/01/rdf-schema#Class
http://www.w3.org/2000/01/rdf-schema#range,http://www.w3.org/2000/01/rdf-schema#Class
http://www.w3.org/2000/01/rdf-schema#range,http://www.w3.org/2000/01/rdf-schema#Class
http://www.w3.org/2000/01/rdf-schema#range,http://www.w3.org/1999/02/22-rdf-syntax-ns#List
http://www.w3.org/2000/01/rdf-schema#range,http://www.w3.org/2000/01/rdf-schema#Literal
http://www.w3.org/2000/01/rdf-schema#range,http://www.w3.org/2000/01/rdf-schema#Literal
http://proton.semanticweb.org/protonsys#transitiveOver,http://www.w3.org/2000/01/rdf-schema#subClassOf
http://proton.semanticweb.org/protonsys#transitiveOver,http://www.w3.org/2000/01/rdf-schema#subPropertyOf
http://proton.semanticweb.org/protonsys#transitiveOver,http://www.w3.org/2000/01/rdf-schema#subClassOf
http://proton.semanticweb.org/protonsys#transitiveOver,http://www.w3.org/2002/07/owl#equivalentProperty
http://proton.semanticweb.org/protonsys#transitiveOver,http://www.w3.org/2002/07/owl#equivalentClass
http://www.w3.org/2002/07/owl#inverseOf,http://www.w3.org/2002/07/owl#equivalentProperty
http://www.w3.org/2002/07/owl#inverseOf,http://www.w3.org/2002/07/owl#equivalentClass
http://www.w3.org/2002/07/owl#inverseOf,http://www.w3.org/2002/07/owl#inverseOf
http://www.w3.org/2002/07/owl#inverseOf,http://www.w3.org/2002/07/owl#differentFrom
http://www.w3.org/1999/02/22-rdf-syntax-ns#first,_:genid-94fe603c3fdb4093afbe96d093da86f1681003-b0
http://www.w3.org/1999/02/22-rdf-syntax-ns#first,_:genid-94fe603c3fdb4093afbe96d093da86f1681003-b1
http://www.w3.org/1999/02/22-rdf-syntax-ns#first,_:genid-94fe603c3fdb4093afbe96d093da86f1681003-b2
http://www.w3.org/1999/02/22-rdf-syntax-ns#first,_:genid-94fe603c3fdb4093afbe96d093da86f1681003-b3
http://www.w3.org/1999/02/22-rdf-syntax-ns#first,_:genid-94fe603c3fdb4093afbe96d093da86f1681003-b4
http://www.w3.org/1999/02/22-rdf-syntax-ns#first,_:genid-94fe603c3fdb4093afbe96d093da86f1681003-b5
http://www.w3.org/1999/02/22-rdf-syntax-ns#first,_:genid-94fe603c3fdb4093afbe96d093da86f1681003-b6
http://www.w3.org/1999/02/22-rdf-syntax-ns#first,_:genid-94fe603c3fdb4093afbe96d093da86f1681003-b7
http://www.w3.org/1999/02/22-rdf-syntax-ns#first,_:genid-94fe603c3fdb4093afbe96d093da86f1681003-b8
http://www.w3.org/1999/02/22-rdf-syntax-ns#rest,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
http://www.w3.org/1999/02/22-rdf-syntax-ns#rest,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
http://www.w3.org/1999/02/22-rdf-syntax-ns#rest,_:genid-94fe603c3fdb4093afbe96d093da86f1681003-b12
http://www.w3.org/1999/02/22-rdf-syntax-ns#rest,_:genid-94fe603c3fdb4093afbe96d093da86f1681003-b13
http://www.w3.org/1999/02/22-rdf-syntax-ns#rest,_:genid-94fe603c3fdb4093afbe96d093da86f1681003-b14
http://www.w3.org/1999/02/22-rdf-syntax-ns#rest,_:genid-94fe603c3fdb4093afbe96d093da86f1681003-b15
http://www.w3.org/1999/02/22-rdf-syntax-ns#rest,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
http://www.w3.org/1999/02/22-rdf-syntax-ns#rest,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
http://www.w3.org/1999/02/22-rdf-syntax-ns#rest,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
http://www.opengis.net/ont/geosparql#asWKT,POINT (-3.82006 51.60224)
https://raw.githubusercontent.com/kgeographer/_graph/main/lpo/lpo_draft_jul20240729b.ttl#hasDescription,_:genid-94fe603c3fdb4093afbe96d093da86f1681003-b9
https://raw.githubusercontent.com/kgeographer/_graph/main/lpo/lpo_draft_jul20240729b.ttl#hasGeom,_:genid-94fe603c3fdb4093afbe96d093da86f1681003-b10
https://raw.githubusercontent.com/kgeographer/_graph/main/lpo/lpo_draft_jul20240729b.ttl#hasLink,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://raw.githubusercontent.com/kgeographer/_graph/main/lpo/lpo_draft_jul20240729b.ttl#hasName,_:genid-94fe603c3fdb4093afbe96d093da86f1681003-b11
https://raw.githubusercontent.com/kgeographer/_graph/main/lpo/lpo_draft_jul20240729b.ttl#hasType,_:genid-94fe603c3fdb4093afbe96d093da86f1681003-b16
https://raw.githubusercontent.com/kgeographer/_graph/main/lpo/lpo_draft_jul20240729b.ttl#sourceId,1138
https://raw.githubusercontent.com/kgeographer/_graph/main/lpo/lpo_draft_jul20240729b.ttl#sourceUri,https://www.visionofbritain.org.uk/place/1138
https://raw.githubusercontent.com/kgeographer/_graph/main/lpo/lpo_draft_jul20240729b.ttl#title,Aberafan
https://raw.githubusercontent.com/kgeographer/_graph/main/lpo/lpo_draft_jul20240729b.ttl#whens,_:genid-94fe603c3fdb4093afbe96d093da86f1681003-b17
https://raw.githubusercontent.com/kgeographer/_graph/main/lpo/lpo_draft_jul20240729b.ttl#descriptionValue,"ABERAVON a town and a parish at the mouth of the river Avon, in the district of Neath, Glamorgan. The town stands on the South Wales railway, in the western vicinity of Taibach, 5&frac12; miles SSE of Neath, and 32&frac14; WNW of Cardiff. It is a borough, municipal and par liamentary, and a sub-port under the port of Swansea. It consists of an old part, a little inland, which is Aberavon-proper, and a new part, on the shore, which em braces the harbour, and is called Port-Talbot. It has a post office&Dagger; of its own name under Taibach, and a station of the name of Port-Talbot on the railway. It was recently a small village, but has grown rapidly in connexion with neighboring mines and the export of their produce. Its harbour was highly improved in 1838 by a new cut for the river, and gives floating accommodation with considerable depth. Numerous coasting vessels frequent it; and steamers come from Bristol. Fairs are held on the second Friday in May, and on 24 June, 1 July, 14 Aug., 7 Oct., and 1 Nov. The municipal borough lies wholly in Aberavon parish, and is governed by a portreeve and two aldermen. The parliamentary borough includes also part of Margam parish, and part of the hamlet of Upper Michaelstone; and is linked in the franchise with Swansea. Pop. in 1851, 6,567; in 1861, 7,754. Houses, 1,423.&#151;The parish comprises 1,943 acres of land and 655 of water.-Real property, &pound;5,073. Pop. in 1831, 573; in 1861, 2,916. Houses, 531. The property is much sub-divided. The living is a vicarage, united to Baglan, in the diocese of Llandaff. Value, &pound;154.* Patron, G. Llewellyn, Esq. The church is an edifice in the middle pointed style; consists of nave, chancel, and south aisle, with a tower; and was built in 1860, at a cost of &pound;2,120. There are chapels for Independents, Baptists, Calvinistic Methodists, Primitive Methodists, Bible Christians, and Roman Catholics. Some remains exist on Aberavon Myndyd hill, of the castle of Caradoc ab Jestyn, which was destroyed in 1150. Some interesting localities are in the neighborhood. See Taibach, Margam, Cwm-Avon, and Baglan."
https://raw.githubusercontent.com/kgeographer/_graph/main/lpo/lpo_draft_jul20240729b.ttl#language,en
https://raw.githubusercontent.com/kgeographer/_graph/main/lpo/lpo_draft_jul20240729b.ttl#coordinates,-3.82006E0
https://raw.githubusercontent.com/kgeographer/_graph/main/lpo/lpo_draft_jul20240729b.ttl#coordinates,5.160224E1
https://raw.githubusercontent.com/kgeographer/_graph/main/lpo/lpo_draft_jul20240729b.ttl#geoType,Point
https://raw.githubusercontent.com/kgeographer/_graph/main/lpo/lpo_draft_jul20240729b.ttl#toponym,Aberafan
https://raw.githubusercontent.com/kgeographer/_graph/main/lpo/lpo_draft_jul20240729b.ttl#toponym,Aberavan
https://raw.githubusercontent.com/kgeographer/_graph/main/lpo/lpo_draft_jul20240729b.ttl#toponym,Aberavon
https://raw.githubusercontent.com/kgeographer/_graph/main/lpo/lpo_draft_jul20240729b.ttl#toponym,Glamorganshire Aberavon
https://raw.githubusercontent.com/kgeographer/_graph/main/lpo/lpo_draft_jul20240729b.ttl#toponym,Port Talbot
https://raw.githubusercontent.com/kgeographer/_graph/main/lpo/lpo_draft_jul20240729b.ttl#typeLabel,inhabited place
